# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.128370           9.8086658488e-01 2.9627536402e-03 -5.7619305683e-22 9.5881910826e-01 4.1896217442e-04 6.9887595929e-23 2.2047476617e-02 2.5437914658e-03 -6.4608065276e-22
0.256739           3.3057706370e-01 9.2568448293e-04 -1.4957074429e-21 3.3049295055e-01 3.1110551229e-04 -3.6408712259e-22 8.4113146067e-05 6.1457897064e-04 -1.1316203203e-21
0.385109           -3.7406181198e-01 2.7425129070e-04 -9.7577065287e-22 -3.7022933526e-01 2.2405616479e-04 -7.1643924777e-22 -3.8324767155e-03 5.0195125906e-05 -2.5933140510e-22
0.513479           -4.9740212477e-01 6.4775964847e-05 -1.2991946564e-21 -4.9711998197e-01 2.8154011095e-04 -4.8568745452e-22 -2.8214280395e-04 -2.1676414610e-04 -8.1350720186e-22
0.641849           -1.1065582060e-01 -1.8937789946e-05 -9.4698000940e-22 -1.1422356919e-01 2.7479356242e-04 1.4160627281e-22 3.5677485888e-03 -2.9373135236e-04 -1.0885862822e-21
0.770218           2.8232121228e-01 1.1013513465e-04 -2.7906276564e-22 2.7816848442e-01 3.1094157027e-04 4.6095139224e-22 4.1527278525e-03 -2.0080643562e-04 -7.4001415788e-22
0.898588           2.9133131658e-01 4.9566128844e-04 -5.6776969506e-22 2.8903770024e-01 5.8101716146e-04 8.5177119623e-23 2.2936163425e-03 -8.5355873024e-05 -6.5294681468e-22
1.026958           3.3472513790e-02 9.5575005074e-04 -9.1513038605e-22 3.2893618000e-02 1.0434050911e-03 -5.1150684411e-22 5.7889579035e-04 -8.7655040322e-05 -4.0362354195e-22
1.155327           -1.6609928677e-01 9.1792188920e-04 -6.8567105354e-22 -1.6655275616e-01 1.1022425478e-03 -6.5800806765e-22 4.5346938485e-04 -1.8432065861e-04 -2.7662985897e-23
1.283697           -1.4512766318e-01 4.6087404595e-04 -2.5073932528e-22 -1.4646304585e-01 7.3083971416e-04 -2.8766386698e-22 1.3353826766e-03 -2.6996566821e-04 3.6924541701e-23
1.412067           1.0274257245e-02 6.0849847312e-05 9.5974467653e-23 8.3259602748e-03 3.1117201675e-04 1.6497784062e-22 1.9482969703e-03 -2.5032216944e-04 -6.9003372968e-23
1.540436           1.1259770932e-01 2.1729255675e-04 1.1595719929e-22 1.1085465865e-01 3.9269551623e-04 2.1083419504e-22 1.7430506741e-03 -1.7540295948e-04 -9.4876995755e-23
1.668806           8.4272359872e-02 8.1405676778e-04 1.6584311787e-22 8.3122900672e-02 9.3889380812e-04 -1.1768993208e-22 1.1494592005e-03 -1.2483704034e-04 2.8353304995e-22
1.797176           -6.1908318589e-03 1.2502414792e-03 -6.9607385518e-23 -7.0064746588e-03 1.4077188810e-03 -4.2080344596e-22 8.1564279986e-04 -1.5747740181e-04 3.5119606044e-22
1.925546           -5.5992894169e-02 1.1490937327e-03 6.4429399397e-23 -5.6916117243e-02 1.3672954970e-03 -4.0240532484e-22 9.2322307362e-04 -2.1820176430e-04 4.6683472423e-22
2.053915           -3.4957368591e-02 6.5336697298e-04 1.0913151140e-22 -3.6126467507e-02 9.1335071019e-04 -1.5174215214e-22 1.1690989157e-03 -2.5998373721e-04 2.6087366354e-22
2.182285           1.6756316322e-02 3.9411808705e-04 1.5666473013e-22 1.5519358903e-02 6.3230504632e-04 4.4664599309e-23 1.2369574190e-03 -2.3818695927e-04 1.1200013082e-22
2.310655           4.1250846299e-02 6.6013889149e-04 1.6357719865e-22 4.0165697870e-02 8.6347073857e-04 1.5459732834e-25 1.0851484294e-03 -2.0333184708e-04 1.6342260132e-22
2.439024           2.6319374407e-02 1.1723851562e-03 1.7471452669e-23 2.5415795725e-02 1.3608628010e-03 -1.8211108951e-22 9.0357868196e-04 -1.8847764485e-04 1.9958254218e-22
2.567394           -1.8660232927e-03 1.4045246018e-03 5.6992762774e-23 -2.7129710134e-03 1.6193833142e-03 -2.9335878310e-22 8.4694772065e-04 -2.1485871246e-04 3.5035154587e-22
2.695764           -1.4125231281e-02 1.2308841510e-03 1.4549601739e-22 -1.5025821874e-02 1.4817200319e-03 -2.4707935377e-22 9.0059059247e-04 -2.5083588090e-04 3.9257537116e-22
2.824134           -5.4410174421e-03 9.2794180862e-04 2.7730121616e-22 -6.3934798313e-03 1.1936907695e-03 -1.2331469859e-22 9.5246238921e-04 -2.6574896085e-04 4.0061591475e-22
2.952503           1.0222451013e-02 8.8902613024e-04 2.7270504810e-22 9.2916267958e-03 1.1423342402e-03 -5.9187980370e-23 9.3082421758e-04 -2.5330810998e-04 3.3189302847e-22
3.080873           1.6742296674e-02 1.1654759707e-03 1.4644188129e-22 1.5883388515e-02 1.4032732111e-03 -9.9592834008e-23 8.5890815892e-04 -2.3779724039e-04 2.4603471530e-22
3.209243           1.1708380954e-02 1.5021057810e-03 8.9055959684e-23 1.0907267465e-02 1.7411106057e-03 -1.8051264519e-22 8.0111348865e-04 -2.3900482473e-04 2.6956860488e-22
3.337612           3.1406702326e-03 1.6091907155e-03 2.6855899113e-23 2.3501206706e-03 1.8649723668e-03 -2.1395418953e-22 7.9054956200e-04 -2.5578165129e-04 2.4081008865e-22
3.465982           -3.1869883121e-04 1.5071443884e-03 1.1199523979e-22 -1.1231464273e-03 1.7796486348e-03 -1.8114669587e-22 8.0444759604e-04 -2.7250424641e-04 2.9314193566e-22
3.594352           2.5528413639e-03 1.4017690434e-03 1.5896589221e-22 1.7466143521e-03 1.6788526135e-03 -1.2840791881e-22 8.0622701176e-04 -2.7708357001e-04 2.8737381102e-22
3.722721           7.1928054258e-03 1.4792891824e-03 8.5415049248e-23 6.4109111495e-03 1.7528177159e-03 -1.1123228201e-22 7.8189427633e-04 -2.7352853352e-04 1.9664733126e-22
3.851091           9.3453382190e-03 1.7130222734e-03 1.0373884471e-22 8.5962484709e-03 1.9825686877e-03 -1.3396560019e-22 7.4908974811e-04 -2.6954641431e-04 2.3770444490e-22
3.979461           7.9412045335e-03 1.9465995324e-03 1.4494618215e-22 7.2146733161e-03 2.2221728682e-03 -1.6597611826e-22 7.2653121746e-04 -2.7557333581e-04 3.1092230041e-22
4.107831           5.4179318222e-03 2.0510286871e-03 2.1740633007e-22 4.6979457998e-03 2.3373430084e-03 -1.7393818919e-22 7.1998602241e-04 -2.8631432128e-04 3.9134451926e-22
4.236200           4.2137557488e-03 2.0665535449e-03 7.0155607897e-23 3.4961071041e-03 2.3627619253e-03 -1.5741243065e-22 7.1764864467e-04 -2.9620838045e-04 2.2756803855e-22
4.364570           5.0168141067e-03 2.1055578660e-03 1.3348885958e-22 4.3077483635e-03 2.4050854501e-03 -1.3714501628e-22 7.0906574315e-04 -2.9952758414e-04 2.7063387587e-22
4.492940           6.6246482261e-03 2.2424939643e-03 9.7158206352e-23 5.9319037204e-03 2.5414595992e-03 -1.3190104166e-22 6.9274450560e-04 -2.9896563490e-04 2.2905924801e-22
4.621309           7.5158530572e-03 2.4539304558e-03 -9.9190495493e-23 6.8407487001e-03 2.7539417708e-03 -1.4190481935e-22 6.7510435710e-04 -3.0001131501e-04 4.2714323859e-23
