# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.128370           9.8087227814e-01 7.4080292139e-03 -1.6877118390e-22 9.5881911987e-01 1.0474073425e-03 6.7636961403e-23 2.2053158266e-02 6.3606218714e-03 -2.3640814530e-22
0.256739           3.3084101713e-01 2.3595424820e-03 -5.4361217549e-22 3.3060457760e-01 8.0028322389e-04 -3.6602585902e-22 2.3643953042e-04 1.5592592581e-03 -1.7758631646e-22
0.385109           -3.7467850222e-01 6.5018029165e-04 -9.0698786648e-22 -3.7102416583e-01 4.8542395200e-04 -7.2298990890e-22 -3.6543363883e-03 1.6475633965e-04 -1.8399795758e-22
0.513479           -4.9855790757e-01 1.6488714485e-04 -2.9283235518e-22 -4.9831578728e-01 6.4003995405e-04 -4.9554475860e-22 -2.4212028754e-04 -4.7515280920e-04 2.0271240342e-22
0.641849           -1.1094879379e-01 -8.4996596957e-06 -8.0991273037e-22 -1.1446531493e-01 6.6143414691e-04 1.2758671886e-22 3.5165211341e-03 -6.6993380660e-04 -9.3749944923e-22
0.770218           2.8313029649e-01 2.1143387680e-04 -2.4504221327e-22 2.7901598091e-01 6.9378668938e-04 4.4145750980e-22 4.1143155818e-03 -4.8235281258e-04 -6.8649972308e-22
0.898588           2.9249076053e-01 1.0485240384e-03 -5.4560804139e-22 2.9018397466e-01 1.2712150932e-03 6.0698494262e-23 2.3067858687e-03 -2.2269105476e-04 -6.0630653565e-22
1.026958           3.3737089564e-02 2.1159296116e-03 -9.6639906474e-22 3.3127041977e-02 2.3169787437e-03 -5.3791742480e-22 6.1004758651e-04 -2.0104913214e-04 -4.2848163994e-22
1.155327           -1.6678333410e-01 2.1500085003e-03 -5.3461605091e-22 -1.6723496593e-01 2.5450800760e-03 -6.8383848535e-22 4.5163183144e-04 -3.9507157566e-04 1.4922243444e-22
1.283697           -1.4534871738e-01 1.1542064155e-03 -4.1118263787e-22 -1.4663619984e-01 1.7369368578e-03 -3.0961071421e-22 1.2874824571e-03 -5.8273044232e-04 -1.0157192366e-22
1.412067           1.1049966754e-02 1.2298838122e-04 -3.5660673293e-23 9.1675735905e-03 6.7854328710e-04 1.4296492906e-22 1.8823931635e-03 -5.5555490587e-04 -1.7862560235e-22
1.540436           1.1410704205e-01 3.7247687985e-04 -1.2952714665e-22 1.1241802470e-01 7.7305629472e-04 1.8109378046e-22 1.6890173501e-03 -4.0057941486e-04 -3.1062092711e-22
1.668806           8.5191056298e-02 1.7199708973e-03 -4.1758958132e-22 8.4077734610e-02 2.0060498807e-03 -1.5560064122e-22 1.1133216885e-03 -2.8607898341e-04 -2.6198894010e-22
1.797176           -6.2067715077e-03 2.7905092890e-03 -4.8546038666e-22 -6.9851959509e-03 3.1318559162e-03 -4.6136562818e-22 7.7842444324e-04 -3.4134662724e-04 -2.4094758478e-23
1.925546           -5.6184811507e-02 2.6088271362e-03 -9.9267969720e-23 -5.7057625333e-02 3.0733588789e-03 -4.3982774241e-22 8.7281382600e-04 -4.6453174272e-04 3.4055977269e-22
2.053915           -3.4667789400e-02 1.4850130920e-03 2.1160971148e-22 -3.5774826920e-02 2.0383166896e-03 -1.8484465903e-22 1.1070375203e-03 -5.5330359759e-04 3.9645437051e-22
2.182285           1.6854636919e-02 8.2058746490e-04 3.5658638142e-22 1.5680588950e-02 1.3328423977e-03 8.5143276793e-24 1.1740479684e-03 -5.1225493280e-04 3.4807205374e-22
2.310655           4.2849800183e-02 1.3988947175e-03 4.5710314164e-23 4.1819263168e-02 1.8165791694e-03 -3.7046076897e-23 1.0305370150e-03 -4.1768445192e-04 8.2756391061e-23
2.439024           2.8014290322e-02 2.5612783988e-03 -9.1956642546e-23 2.7165048562e-02 2.9413479511e-03 -2.2370219385e-22 8.4924176017e-04 -3.8006955229e-04 1.3174555130e-22
2.567394           -1.0249970085e-03 3.1195992032e-03 -7.4561644959e-23 -1.8086834384e-03 3.5516816229e-03 -3.3866354371e-22 7.8368642996e-04 -4.3208241967e-04 2.6410189876e-22
2.695764           -1.3904008294e-02 2.7289146702e-03 1.7228213830e-22 -1.4732957915e-02 3.2379233002e-03 -2.9281802665e-22 8.2894962123e-04 -5.0900862993e-04 4.6510016496e-22
2.824134           -5.0724617638e-03 1.9928749013e-03 1.7334767202e-22 -5.9521031551e-03 2.5379509903e-03 -1.6775628429e-22 8.7964139134e-04 -5.4507608898e-04 3.4110395631e-22
2.952503           1.1240274736e-02 1.8339459725e-03 1.7670800040e-22 1.0381006631e-02 2.3563967635e-03 -1.0370497293e-22 8.5926810526e-04 -5.2245079095e-04 2.8041297334e-22
3.080873           1.8181452762e-02 2.4048588438e-03 2.0199046058e-22 1.7395714785e-02 2.8941756871e-03 -1.4691483506e-22 7.8573797723e-04 -4.8931684333e-04 3.4890529564e-22
3.209243           1.3092322167e-02 3.1526563446e-03 -1.5216106205e-23 1.2372482342e-02 3.6400157628e-03 -2.3210852046e-22 7.1983982554e-04 -4.8735941819e-04 2.1689241426e-22
3.337612           4.2288595586e-03 3.4027640032e-03 1.7211382363e-22 3.5286340669e-03 3.9218151903e-03 -2.6798704217e-22 7.0022549166e-04 -5.1905118704e-04 4.4010086579e-22
3.465982           6.6977239538e-04 3.1465983945e-03 7.4268549598e-23 -3.8404708477e-05 3.6989565565e-03 -2.3498014031e-22 7.0817710385e-04 -5.5235816207e-04 3.0924868990e-22
3.594352           3.7590957036e-03 2.8451208381e-03 1.6490877902e-22 3.0497357508e-03 3.4066617951e-03 -1.8060831401e-22 7.0935995289e-04 -5.6154095701e-04 3.4551709304e-22
3.722721           8.6759236171e-03 2.9530043210e-03 2.0532422540e-22 7.9924374659e-03 3.5055044158e-03 -1.6298944702e-22 6.8348615122e-04 -5.5250009484e-04 3.6831367242e-22
3.851091           1.0963558649e-02 3.4265553662e-03 2.5472667766e-22 1.0316763098e-02 3.9676807397e-03 -1.8753065862e-22 6.4679555159e-04 -5.4112537349e-04 4.4225733627e-22
3.979461           9.5336229932e-03 3.9116338556e-03 1.4927008215e-22 8.9169035373e-03 4.4607528587e-03 -2.2260089505e-22 6.1671945595e-04 -5.4911900305e-04 3.7187097721e-22
4.107831           6.9871773247e-03 4.0845068143e-03 5.2763923904e-23 6.3836757651e-03 4.6524518184e-03 -2.3249216903e-22 6.0350155958e-04 -5.6794500410e-04 2.8525609293e-22
4.236200           5.8671133602e-03 4.0450746352e-03 1.3167380207e-22 5.2709491405e-03 4.6305491772e-03 -2.1609116791e-22 5.9616421973e-04 -5.8547454197e-04 3.4776496998e-22
4.364570           6.8312354047e-03 4.0532685733e-03 1.5631109423e-22 6.2463707152e-03 4.6430796912e-03 -1.9517142864e-22 5.8486468951e-04 -5.8981111786e-04 3.5148252286e-22
4.492940           8.5802912014e-03 4.2845564451e-03 2.0152263930e-22 8.0147836282e-03 4.8703114751e-03 -1.8998504278e-22 5.6550757329e-04 -5.8575503002e-04 3.9150768207e-22
4.621309           9.5487905560e-03 4.6779085522e-03 2.0522773120e-22 9.0058037882e-03 5.2623527543e-03 -2.0131783603e-22 5.4298676780e-04 -5.8444420210e-04 4.0654556723e-22
4.749679           9.3168435039e-03 5.0481825816e-03 1.2033640336e-22 8.7929851193e-03 5.6394308480e-03 -2.1513318652e-22 5.2385838459e-04 -5.9124826638e-04 3.3546958988e-22
4.878049           8.6176986436e-03 5.2757357370e-03 1.4302312322e-22 8.1073805449e-03 5.8779306813e-03 -2.1903759694e-22 5.1031809873e-04 -6.0219494428e-04 3.6206072015e-22
5.006418           8.3413624985e-03 5.4157288158e-03 1.8356539916e-22 7.8424111117e-03 6.0259911127e-03 -2.1293984220e-22 4.9895138679e-04 -6.1026229694e-04 3.9650524136e-22
5.134788           8.7634098468e-03 5.6000673721e-03 3.8195577635e-22 8.2772779905e-03 6.2124464302e-03 -2.0562398146e-22 4.8613185631e-04 -6.1237905813e-04 5.8757975780e-22
5.263158           9.4924445346e-03 5.9031278744e-03 2.6906141386e-22 9.0217733406e-03 6.5145017737e-03 -2.0473046200e-22 4.7067119401e-04 -6.1137389933e-04 4.7379187586e-22
5.391528           9.9996642168e-03 6.2871680664e-03 2.1628771646e-22 9.5451424837e-03 6.8987716555e-03 -2.1033710418e-22 4.5452173314e-04 -6.1160358915e-04 4.2662482065e-22
5.519897           1.0105743787e-02 6.6628182415e-03 2.0484693830e-22 9.6657430266e-03 7.2775422836e-03 -2.1695675915e-22 4.4000076069e-04 -6.1472404211e-04 4.2180369745e-22
5.648267           1.0028904986e-02 6.9824672677e-03 1.2571440869e-22 9.6012321326e-03 7.6013432572e-03 -2.1978689829e-22 4.2767285324e-04 -6.1887598945e-04 3.4550130698e-22
5.776637           1.0072995030e-02 7.2777593239e-03 1.1891749273e-22 9.6566846033e-03 7.8991483612e-03 -2.1879454048e-22 4.1631042657e-04 -6.2138903734e-04 3.3771203322e-22
5.905006           1.0352181109e-02 7.6107088783e-03 2.7393902800e-22 9.9475947076e-03 8.2319999310e-03 -2.1731499427e-22 4.0458640123e-04 -6.2129105270e-04 4.9125402226e-22
6.033376           1.0752231458e-02 8.0090584348e-03 2.6895989382e-23 1.0360155991e-02 8.6289070761e-03 -2.1827236865e-22 3.9207546682e-04 -6.1984864127e-04 2.4516835803e-22
6.161746           1.1093614007e-02 8.4491828464e-03 2.6175956173e-22 1.0714096350e-02 9.0679303476e-03 -2.2176720884e-22 3.7951765683e-04 -6.1874750127e-04 4.8352677056e-22
6.290116           1.1302491860e-02 8.8920942229e-03 2.5399623671e-22 1.0934682637e-02 9.5105672306e-03 -2.2576323066e-22 3.6780922244e-04 -6.1847300772e-04 4.7975946737e-22
6.418485           1.1442654899e-02 9.3220553606e-03 4.1007682374e-22 1.1085501207e-02 9.9402844705e-03 -2.2840303251e-22 3.5715369194e-04 -6.1822910997e-04 6.3847985624e-22
6.546855           1.1618361352e-02 9.7581607572e-03 9.1899466326e-23 1.1271256020e-02 1.0375159307e-02 -2.2959954220e-22 3.4710533192e-04 -6.1699854976e-04 3.2149900852e-22
