# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.120240           1.9417815266e+00 -1.6601807865e-04 -8.7773754358e-17 1.9369813124e+00 -3.5451709513e-05 -3.9433206308e-23 4.8002142804e-03 -1.3056636914e-04 -8.7773714925e-17
0.255607           -6.4059238273e-02 1.2013471816e-05 3.3500153613e-17 -6.9306385241e-02 2.4446061926e-04 -6.1835228725e-21 5.2471469684e-03 -2.3244714745e-04 3.3506337136e-17
0.404450           -4.7777454836e-01 8.5062535823e-04 -1.8590964089e-14 -4.8237019457e-01 1.0169845530e-03 -7.2627365442e-21 4.5956462153e-03 -1.6635919480e-04 -1.8590956826e-14
0.544824           -5.3785828169e-02 1.3819451594e-03 -3.6055930423e-14 -5.7607850708e-02 1.4991743575e-03 -1.7118610564e-21 3.8220225395e-03 -1.1722919806e-04 -3.6055928711e-14
0.680137           9.1524418992e-02 7.8340991129e-04 -2.9369514871e-14 8.8025622153e-02 8.7566712993e-04 8.9185110972e-22 3.4987968387e-03 -9.2257218647e-05 -2.9369515763e-14
0.814132           -3.9941950517e-02 1.8826184446e-03 -2.6818868209e-14 -4.3243550810e-02 1.9585192447e-03 -2.3549808716e-21 3.3016002925e-03 -7.5900800145e-05 -2.6818865854e-14
0.948401           -8.3854055226e-02 2.2214227376e-03 -2.9099003981e-14 -8.6870502502e-02 2.2870894641e-03 -6.5501204582e-21 3.0164472754e-03 -6.5666726497e-05 -2.9098997431e-14
1.085409           -6.9192765072e-03 2.0679050629e-03 -2.6626765998e-14 -9.6920643428e-03 2.1303831773e-03 -1.7577661047e-21 2.7727878356e-03 -6.2478114393e-05 -2.6626764241e-14
1.225120           1.1886871868e-02 2.5355174009e-03 -2.4954481505e-14 9.2840923392e-03 2.6015141814e-03 2.0972711172e-21 2.6027795289e-03 -6.5996780453e-05 -2.4954483602e-14
1.367070           -8.0770486958e-03 2.3811153181e-03 -2.3835646424e-14 -1.0528255300e-02 2.4539380794e-03 -2.9149561205e-21 2.4512066042e-03 -7.2822761277e-05 -2.3835643509e-14
1.511356           -1.0111828827e-02 2.3766168576e-03 -2.2865058977e-14 -1.2413517732e-02 2.4588679788e-03 -4.1568373178e-21 2.3016889041e-03 -8.2251121140e-05 -2.2865054820e-14
1.658329           -3.1876671376e-03 2.5016556984e-03 -2.1617280249e-14 -5.3536492537e-03 2.5963790720e-03 -2.4915141804e-21 2.1659821162e-03 -9.4723373655e-05 -2.1617277758e-14
1.807964           -2.0344867094e-03 2.5831166628e-03 -2.0672651699e-14 -4.0805066726e-03 2.6924957319e-03 -2.6012271412e-21 2.0460199632e-03 -1.0937906905e-04 -2.0672649098e-14
1.960534           -1.4382498695e-03 2.5382427843e-03 -1.9235880113e-14 -3.3748981705e-03 2.6634772217e-03 -2.7116016756e-21 1.9366483010e-03 -1.2523443738e-04 -1.9235877401e-14
2.116238           -6.4455566922e-04 2.5299851958e-03 -1.7743829831e-14 -2.4795184313e-03 2.6719475454e-03 -2.8234628365e-21 1.8349627620e-03 -1.4196234955e-04 -1.7743827008e-14
2.275037           -4.0058982439e-05 2.5449469357e-03 -1.6344631000e-14 -1.7806124970e-03 2.7042646845e-03 -2.7930737823e-21 1.7405535145e-03 -1.5931774875e-04 -1.6344628207e-14
2.437218           5.1114396144e-04 2.5398828076e-03 -1.5051136127e-14 -1.1419734442e-03 2.7169701728e-03 -2.7189577352e-21 1.6531174057e-03 -1.7708736520e-04 -1.5051133408e-14
2.602775           9.8727630411e-04 2.5254774497e-03 -1.3781088147e-14 -5.8419659518e-04 2.7204297537e-03 -2.5508406527e-21 1.5714728993e-03 -1.9495230396e-04 -1.3781085596e-14
2.771763           1.3977681088e-03 2.5485348094e-03 -1.2567401533e-14 -9.7124663714e-05 2.7614052845e-03 -2.3696669346e-21 1.4948927726e-03 -2.1287047508e-04 -1.2567399163e-14
2.944118           1.7504720783e-03 2.5288512638e-03 -1.1416423763e-14 3.2747162434e-04 2.7594744906e-03 -2.1206151524e-21 1.4230004540e-03 -2.3062322674e-04 -1.1416421642e-14
3.119479           2.0719922627e-03 2.5383786317e-03 -1.0327090205e-14 7.1665179406e-04 2.7863927422e-03 -1.8746488476e-21 1.3553404686e-03 -2.4801411050e-04 -1.0327088330e-14
3.297274           2.3337961237e-03 2.5128706457e-03 -9.3036359906e-15 1.0421847004e-03 2.7776801602e-03 -1.5644138664e-21 1.2916114233e-03 -2.6480951449e-04 -9.3036344262e-15
3.477062           2.5765032018e-03 2.5079271073e-03 -8.3496157217e-15 1.3449244454e-03 2.7887439094e-03 -1.2743547036e-21 1.2315787565e-03 -2.8081680208e-04 -8.3496144474e-15
3.658398           2.7863727596e-03 2.4941149602e-03 -7.4656025344e-15 1.6113205670e-03 2.7900215737e-03 -9.9573460084e-22 1.1750521926e-03 -2.9590661358e-04 -7.4656015386e-15
3.840963           2.9752300888e-03 2.4913404246e-03 -6.6504368889e-15 1.8534129565e-03 2.8013121773e-03 -7.7142139996e-22 1.1218171323e-03 -3.0997175266e-04 -6.6504361175e-15
4.022962           3.1354328444e-03 2.4829714406e-03 -5.9100089012e-15 2.0634541169e-03 2.8059619713e-03 -6.3474866270e-22 1.0719787275e-03 -3.2299053068e-04 -5.9100082664e-15
4.204967           3.2938085123e-03 2.4805345714e-03 -5.2337799961e-15 2.2687679470e-03 2.8154730630e-03 -6.4083043400e-22 1.0250405653e-03 -3.3493849166e-04 -5.2337793553e-15
4.387639           3.4403863988e-03 2.4804926126e-03 -4.6108359954e-15 2.4597171340e-03 2.8261866126e-03 -7.3063739980e-22 9.8066926477e-04 -3.4569399991e-04 -4.6108352648e-15
4.570149           3.5825727573e-03 2.4886419998e-03 -4.0359333839e-15 2.6437655742e-03 2.8439717616e-03 -9.2320710022e-22 9.3880718306e-04 -3.5532976181e-04 -4.0359324607e-15
4.753291           3.7141021651e-03 2.4928615662e-03 -3.4987444129e-15 2.8150470206e-03 2.8567778520e-03 -1.1803769687e-21 8.9905514454e-04 -3.6391628581e-04 -3.4987432325e-15
4.936981           3.8304125908e-03 2.5000478108e-03 -2.9948289901e-15 2.9690191650e-03 2.8714185885e-03 -1.4724720916e-21 8.6139342575e-04 -3.7137077773e-04 -2.9948275176e-15
5.121254           3.9467009060e-03 2.5100962869e-03 -2.5215820436e-15 3.1210395561e-03 2.8878875586e-03 -1.7649459439e-21 8.2566134996e-04 -3.7779127170e-04 -2.5215802787e-15
