# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.120240           1.9418350449e+00 -9.5050210543e-05 -1.3888821883e-16 1.9365101531e+00 2.4279790402e-05 -1.4323907570e-21 5.3248917569e-03 -1.1933000094e-04 -1.3888678644e-16
0.255154           -6.3152908560e-02 3.1273201402e-04 -1.3750426705e-16 -6.8892450827e-02 5.5471586641e-04 1.0097439146e-20 5.7395422668e-03 -2.4198385239e-04 -1.3751436449e-16
0.398512           -4.9278063406e-01 1.3977465512e-03 -1.8283517601e-14 -4.9776585358e-01 1.5651202418e-03 6.8441683788e-21 4.9852195251e-03 -1.6737369061e-04 -1.8283524445e-14
0.531312           -5.7963115033e-02 2.3165125229e-03 -3.4902824455e-14 -6.2105729639e-02 2.4318438232e-03 1.0449589854e-20 4.1426146055e-03 -1.1533130031e-04 -3.4902834905e-14
0.657562           9.4461635271e-02 1.5964389841e-03 -2.9356853490e-14 9.0682923597e-02 1.6897372872e-03 1.4114632020e-20 3.7787116738e-03 -9.3298303098e-05 -2.9356867605e-14
0.781458           -4.2648729015e-02 2.7423728864e-03 -2.7090433770e-14 -4.6199522164e-02 2.8234912603e-03 1.2989495091e-20 3.5507931492e-03 -8.1118373812e-05 -2.7090446759e-14
0.904578           -8.8300151069e-02 3.2077902162e-03 -2.8993937864e-14 -9.1539662719e-02 3.2841590086e-03 8.4632925614e-21 3.2395116497e-03 -7.6368792410e-05 -2.8993946327e-14
1.028803           -8.3371698245e-03 3.1571420451e-03 -2.6561603873e-14 -1.1311534974e-02 3.2367825837e-03 1.1769805374e-20 2.9743651497e-03 -7.9640538604e-05 -2.6561615643e-14
1.154214           1.1002457963e-02 3.8800805917e-03 -2.4705315791e-14 8.2159080706e-03 3.9698830490e-03 1.6087651119e-20 2.7865498929e-03 -8.9802457322e-05 -2.4705331879e-14
1.280475           -9.1545818971e-03 3.4710733490e-03 -2.3848580817e-14 -1.1774909395e-02 3.5746596249e-03 1.0534384849e-20 2.6203274983e-03 -1.0358627586e-04 -2.3848591351e-14
1.407656           -1.0761312995e-02 3.5236629420e-03 -2.2771908687e-14 -1.3219642396e-02 3.6438339659e-03 9.0103154201e-21 2.4583294014e-03 -1.2017102387e-04 -2.2771917697e-14
1.535997           -3.9754721480e-03 3.6078704398e-03 -2.1375612200e-14 -6.2870341666e-03 3.7477528598e-03 1.0335336232e-20 2.3115620186e-03 -1.3988242003e-04 -2.1375622535e-14
1.665600           -2.7535859966e-03 3.6505858092e-03 -2.0509459862e-14 -4.9351288006e-03 3.8123610824e-03 1.0063208557e-20 2.1815428040e-03 -1.6177527318e-04 -2.0509469925e-14
1.796505           -1.9549285169e-03 3.5877206637e-03 -1.9240738665e-14 -4.0178188600e-03 3.7725436395e-03 9.9005723521e-21 2.0628903432e-03 -1.8482297577e-04 -1.9240748565e-14
1.928877           -1.0520773665e-03 3.6454320116e-03 -1.8009706631e-14 -3.0047887420e-03 3.8542078477e-03 9.9034642134e-21 1.9527113755e-03 -2.0877583601e-04 -1.8009716534e-14
2.062904           -3.2645228637e-04 3.5933624989e-03 -1.6803341351e-14 -2.1767218073e-03 3.8267551466e-03 1.0087410802e-20 1.8502695209e-03 -2.3339264766e-04 -1.6803351438e-14
2.198588           2.9954604232e-04 3.6020828336e-03 -1.5614874448e-14 -1.4553990220e-03 3.8604033268e-03 1.0306730617e-20 1.7549450644e-03 -2.5832049322e-04 -1.5614884754e-14
2.335990           8.3493455892e-04 3.5680245881e-03 -1.4469747695e-14 -8.3071738628e-04 3.8511551345e-03 1.0668572462e-20 1.6656519452e-03 -2.8313054641e-04 -1.4469758364e-14
2.475227           1.3069319491e-03 3.5543712883e-03 -1.3383109975e-14 -2.7465814433e-04 3.8618419882e-03 1.1088645765e-20 1.5815900935e-03 -3.0747069986e-04 -1.3383121064e-14
2.616440           1.7159684162e-03 3.4888655899e-03 -1.2366663988e-14 2.1380941958e-04 3.8198869914e-03 1.1579848639e-20 1.5021589966e-03 -3.3102140143e-04 -1.2366675568e-14
2.759559           2.0612782903e-03 3.4735419573e-03 -1.1420271835e-14 6.3426042203e-04 3.8270746023e-03 1.2063515850e-20 1.4270178682e-03 -3.5353264495e-04 -1.1420283898e-14
2.904702           2.3625324973e-03 3.4203645098e-03 -1.0546911036e-14 1.0068102772e-03 3.7952035612e-03 1.2523019687e-20 1.3557222201e-03 -3.7483905132e-04 -1.0546923559e-14
3.051948           2.6148367758e-03 3.4043001760e-03 -9.7405793954e-15 1.3269173058e-03 3.7991715273e-03 1.2852085440e-20 1.2879194700e-03 -3.9487135126e-04 -9.7405922475e-15
3.201314           2.8444730296e-03 3.3780717355e-03 -9.0031417299e-15 1.6211371883e-03 3.7916261170e-03 1.2988703397e-20 1.2233358413e-03 -4.1355438151e-04 -9.0031547186e-15
3.352118           3.0326941003e-03 3.3637391624e-03 -8.3335100293e-15 1.8706961426e-03 3.7944991891e-03 1.2817727311e-20 1.1619979577e-03 -4.3076002669e-04 -8.3335228471e-15
3.503713           3.2055969821e-03 3.3529466707e-03 -7.7259430547e-15 2.1017229150e-03 3.7994490391e-03 1.2400719536e-20 1.1038740671e-03 -4.4650236835e-04 -7.7259554554e-15
3.655904           3.3474379816e-03 3.3462961702e-03 -7.1738953785e-15 2.2986504595e-03 3.8070229036e-03 1.1705053540e-20 1.0487875221e-03 -4.6072673344e-04 -7.1739070836e-15
3.808459           3.4950543378e-03 3.3636313812e-03 -6.6750218221e-15 2.4984837202e-03 3.8370429431e-03 1.0806647267e-20 9.9657061757e-04 -4.7341156184e-04 -6.6750326287e-15
3.961248           3.6097806856e-03 3.3594359160e-03 -6.2223222410e-15 2.6627249847e-03 3.8440320083e-03 9.8211008568e-21 9.4705570086e-04 -4.8459609234e-04 -6.2223320621e-15
4.114128           3.7290876446e-03 3.3912493648e-03 -5.8349429648e-15 2.8289574709e-03 3.8855991766e-03 9.0210620604e-21 9.0013017368e-04 -4.9434981176e-04 -5.8349519859e-15
4.266982           3.8331853319e-03 3.4116198744e-03 -5.5029051275e-15 2.9775399111e-03 3.9143226105e-03 8.1858986960e-21 8.5564542076e-04 -5.0270273614e-04 -5.5029133134e-15
4.419756           3.9300271881e-03 3.4519147851e-03 -5.2158591736e-15 3.1165330615e-03 3.9615821452e-03 7.8504640890e-21 8.1349412655e-04 -5.0966736017e-04 -5.2158670241e-15
4.572409           4.0324207429e-03 3.4996664233e-03 -4.9683170994e-15 3.2588772899e-03 4.0150711247e-03 7.4561292609e-21 7.7354345294e-04 -5.1540470139e-04 -4.9683245555e-15
4.724918           4.1221508834e-03 3.5407896688e-03 -4.7385261785e-15 3.3864464380e-03 4.0607209550e-03 7.4237371130e-21 7.3570444535e-04 -5.1993128618e-04 -4.7385336023e-15
4.877265           4.2223531525e-03 3.6037879696e-03 -4.5182832397e-15 3.5224681740e-03 4.1270676366e-03 7.4678820769e-21 6.9988497852e-04 -5.2327966698e-04 -4.5182907076e-15
5.029441           4.3015427667e-03 3.6641527128e-03 -4.3017123355e-15 3.6355610319e-03 4.1897616558e-03 7.7088254904e-21 6.6598173476e-04 -5.2560894301e-04 -4.3017200444e-15
5.181441           4.4086565622e-03 3.7327482681e-03 -4.0784146027e-15 3.7747446931e-03 4.2596911099e-03 8.0104906917e-21 6.3391186910e-04 -5.2694284182e-04 -4.0784226132e-15
