# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.114926           2.0301377757e+00 1.9527541493e-04 8.4796320931e-22 2.0258215913e+00 1.0938470616e-04 -1.6343062568e-22 4.3161844140e-03 8.5890708767e-05 1.0113938350e-21
0.244135           -6.9664412672e-02 1.0990877956e-03 -1.2086564851e-16 -7.4308875084e-02 9.7207267898e-04 -1.2309429978e-20 4.6444624120e-03 1.2701511662e-04 -1.2085333908e-16
0.382834           -5.1402729456e-01 2.0443612993e-03 -9.0949642548e-16 -5.1819905300e-01 1.9258880360e-03 -1.4098163155e-20 4.1717584346e-03 1.1847326339e-04 -9.0948232732e-16
0.509291           -6.4650502556e-02 3.3376122041e-03 -2.2697258966e-15 -6.8212887041e-02 3.2304780433e-03 -5.0474863859e-21 3.5623844845e-03 1.0713416075e-04 -2.2697208491e-15
0.628285           9.6500536076e-02 2.6531962974e-03 -2.7860800630e-15 9.3186070296e-02 2.5596486347e-03 4.4849285835e-21 3.3144657802e-03 9.3547662717e-05 -2.7860845479e-15
0.744291           -4.6889489354e-02 3.3734618923e-03 -2.7284430643e-15 -5.0064711234e-02 3.2959768353e-03 -4.0195252904e-21 3.1752218797e-03 7.7485056990e-05 -2.7284390448e-15
0.858799           -9.4681080367e-02 4.1651986976e-03 -2.7926970407e-15 -9.7637735518e-02 4.1091617989e-03 -1.4251273855e-20 2.9566551508e-03 5.6036898714e-05 -2.7926827894e-15
0.973480           -1.0504128202e-02 4.2281742423e-03 -2.6017901722e-15 -1.3270505636e-02 4.1982270481e-03 -3.2520607013e-21 2.7663774349e-03 2.9947194127e-05 -2.6017869201e-15
1.088443           1.0702683218e-02 4.9104912761e-03 -2.3319019084e-15 8.0663669002e-03 4.9098181239e-03 6.6615551181e-21 2.6363163181e-03 6.7315226643e-07 -2.3319085699e-15
1.203443           -1.0936824356e-02 4.5323076653e-03 -2.1529914571e-15 -1.3456587342e-02 4.5620667339e-03 -5.5245875677e-21 2.5197629868e-03 -2.9759068649e-05 -2.1529859325e-15
1.318562           -1.2555581102e-02 4.6663410218e-03 -1.9993657489e-15 -1.4956157094e-02 4.7281016657e-03 -8.2224741269e-21 2.4005759927e-03 -6.1760643921e-05 -1.9993575264e-15
1.433968           -5.0208113025e-03 4.7512675034e-03 -1.8535455748e-15 -7.3105693702e-03 4.8473394400e-03 -4.7354687356e-21 2.2897580676e-03 -9.6071936549e-05 -1.8535408393e-15
1.549840           -3.5907633344e-03 4.7914164057e-03 -1.7200557080e-15 -5.7807415950e-03 4.9228548630e-03 -5.0951121467e-21 2.1899782606e-03 -1.3143845730e-04 -1.7200506129e-15
1.666174           -2.5362269643e-03 4.7866329350e-03 -1.6020745107e-15 -4.6327132813e-03 4.9537566965e-03 -5.3628755062e-21 2.0964863170e-03 -1.6712376149e-04 -1.6020691479e-15
1.783082           -1.4723016237e-03 4.8099851494e-03 -1.4866222596e-15 -3.4795170730e-03 5.0131550212e-03 -5.1989547334e-21 2.0072154493e-03 -2.0316987185e-04 -1.4866170606e-15
1.900693           -5.8074402530e-04 4.7825439818e-03 -1.3702082395e-15 -2.5027555538e-03 5.0216978106e-03 -5.0888684583e-21 1.9220115285e-03 -2.3915382886e-04 -1.3702031506e-15
2.019098           1.9413198085e-04 4.7689695270e-03 -1.2774693058e-15 -1.6464058651e-03 5.0438194223e-03 -4.3054275761e-21 1.8405378459e-03 -2.7484989527e-04 -1.2774650004e-15
2.138369           8.5091133245e-04 4.7507333302e-03 -1.1895030036e-15 -9.1116733235e-04 5.0607939362e-03 -3.6012124211e-21 1.7620786648e-03 -3.1006060601e-04 -1.1894994024e-15
